,Name,URL,Condition,Make,Model,Transmission,Drive Type,Mileage,Build Year,Body Type,Car Features,Price
Hyundai Kona Electric 2022,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-kona-electric-2022-5311598
",New,Hyundai,null,Automatic,Other,null,null,4x4-suvs,null,"Br 5,100,000"
[ URGENT] - Nissan Juke - 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/urgent-nissan-juke-2021-5311543
",Used,Nissan,null,Automatic,4 Wheel Drive,"6,500 km",2021,4x4-suvs,null,"Br 3,800,000"
Honda CR.V 2020,"Bole, Addis Ababa","https://www.qefira.com/listings/honda-crv-2020-5311577
",Used,Honda,null,Automatic,Other,"5,900 km",null,4x4-suvs,null,"Br 7,600,000"
Landcruiser V6 VX.R Executive NEW BRAND,"Bole, Addis Ababa","https://www.qefira.com/listings/landcruiser-v6-vxr-executive-new-brand-5311567
",New,Toyota,null,Automatic,Other,null,null,4x4-suvs,null,"Br 26,000,000"
Landcruiser VX.R Executive,"Bole, Addis Ababa","https://www.qefira.com/listings/landcruiser-vxr-executive-5311531
",New,Toyota,null,Automatic,Other,null,null,4x4-suvs,null,"Br 25,500,000"
Hyundai Elantra - 2015/2,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-elantra-20152-5311533
",Used,Hyundai,null,Automatic,2 Wheel Drive,null,2015,sedans-station-wagons,null,"Br 2,800,000"
{VX.R} Toyota - Land Cruiser V6 - 2022,"Bole, Addis Ababa","https://www.qefira.com/listings/vxr-toyota-land-cruiser-v6-2022-5266832
",Used,Toyota,Land Cruiser,Automatic,4 Wheel Drive,"3,000 km",2022,4x4-suvs,null,"Br 21,500,000"
Corina 2 car for sale,"Bole, Addis Ababa","https://www.qefira.com/listings/corina-2-car-for-sale-5266758
",Used,Toyota,null,Manual shift,2 Wheel Drive,"450,000 km",1991,sedans-station-wagons,AM/FM Radio,"Br 365,000"
Urgent❗️-Hyundai Tucson [ Europe Standard 2021 ],"Bole, Addis Ababa","https://www.qefira.com/listings/urgent-hyundai-tucson-europe-standard-2021-5266753
",Used,Hyundai,Tucson,Automatic,4 Wheel Drive,"26,000 km",2021,4x4-suvs,null,"Br 5,450,000"
Vitara car for sale,"Bole, Addis Ababa","https://www.qefira.com/listings/vitara-car-for-sale-5229595
",Used,Suzuki,Address,Manual shift,2 Wheel Drive,"300,000 km",1997,sedans-station-wagons,AM/FM Radio,"Br 560,000"
Cars with full Recipt,"Arada, Addis Ababa","https://www.qefira.com/listings/cars-with-full-recipt-5266737
",New,Chrysler,300C,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,Anti-Lock Brakes,"Br 55,000,000"
Hyundai Velostet 2013,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-velostet-2013-5266632
",Used,Hyundai,null,Automatic,2 Wheel Drive,null,2012,sedans-station-wagons,null,"Br 2,980,000"
